"","LibID","Library","Year","Month","Checkouts_Workflows","Checkouts_Self.Check","Checkouts_Unknown","Checkouts","Checkins","Renewals_Enterprise","Renewals_Workflows","Renewals_Self.Check","Renewals_SVA","Renewals_BookMyne","Renewals_Unknown","Renewals","Holds_Enterprise","Holds_Workflows","Holds_BookMyne","Holds_webcat","Holds","ILL_ALA_INST","ILL_ALA_OUTST","ILL_GROUPLOAN","ILL_ILLINETILL","ILL_NONSWANILL","ILL_OCLC_INST","ILL_OCLC_OUTST","ILL_RB_HOLDS","ILL_SHARE_ILL","ILL_SWAN","ILL_Loans","Patrons_Added","Checkouts_Mobile.Circ","Checkouts_Staff","Checkouts_Web.Services.Staff","Holds_Self.Check","Holds_TOTAL","ILL_ILCSO_ILL","ILL_TOTAL","ILL_UNKNOWN","Renewals_Auto.Renewal","Renewals_Mobile.Circ","Renewals_Staff"
"66","BCS","Beecher Community Library District",2017,"February",2261,0,0,2261,2188,286,225,0,0,0,0,511,390,190,0,,580,0,0,0,0,1,0,0,0,1,107,109,24,0,,,,,,,0,,0,
"67","BFS","Brookfield Public Library",2016,"November",13009,556,65,13630,13188,2457,2006,10,0,65,1,4539,2038,905,34,,2977,0,0,0,0,9,79,44,0,0,0,132,48,0,,,0,,,,0,,0,
"68","BFS","Brookfield Public Library",2016,"September",13722,645,4,14371,,2248,1806,48,0,83,0,4185,,,,,,,,,,,,,,,,,94,0,,,,,,,,,0,
"69","BFS","Brookfield Public Library",2016,"October",13676,653,2,14331,,2839,1854,21,0,115,,4829,2185,1033,49,,3267,,,,,,,,,,,,54,0,,,0,,,,,,0,
"70","BFS","Brookfield Public Library",2016,"March",16343,450,10,16803,16523,2274,2121,21,0,93,0,4509,2203,1318,40,,3561,0,0,0,0,10,88,49,0,8,0,155,57,0,,,0,,,,,,0,
"71","BFS","Brookfield Public Library",2016,"July",14937,641,1,15579,15576,2524,2070,21,0,73,0,4688,2090,860,34,,2984,,,,,,,,,,,,72,0,,,0,,,,,,0,
"72","BFS","Brookfield Public Library",2015,"December",12780,468,5,13253,13806,2342,1871,43,,65,0,4321,1960,952,15,,2927,0,0,0,0,10,82,44,0,2,0,138,39,,,,0,,0,,,,,
"73","BFS","Brookfield Public Library",2016,"May",13831,483,9,14341,14857,2231,2190,27,0,51,0,4503,2009,1159,21,,3189,0,0,0,0,4,95,32,0,6,2,139,58,18,,,0,,0,,,,4,
"74","BFS","Brookfield Public Library",2016,"December",10852,517,489,11858,,2482,1794,5,,91,0,4372,1864,763,56,,2683,0,0,0,0,11,61,31,0,5,0,108,34,0,,,0,,,,0,,0,
"75","BFS","Brookfield Public Library",2017,"January",14288,740,237,15265,,2499,1793,51,0,151,,4494,2378,1089,60,,3527,,,,,,,,,,,,55,0,,,0,,,,,0,,
"76","BFS","Brookfield Public Library",2015,"November",14380,523,10,14913,15169,2264,1966,13,,40,0,4283,2131,1016,7,,3154,0,0,0,0,16,58,41,0,1,0,116,62,,,,0,,0,,,,,
"77","BFS","Brookfield Public Library",2015,"September",15558,552,10,16120,15222,2317,2334,32,,0,0,4683,2086,1101,0,,3187,0,0,0,0,21,78,29,0,4,0,132,92,,,0,0,,,,,,,0
"78","BFS","Brookfield Public Library",2016,"January",16371,518,11,16900,15517,2189,1858,9,,35,0,4091,2548,1188,41,,3777,0,0,0,0,23,97,46,0,2,0,168,68,,,,0,,,,,,,
"79","BFS","Brookfield Public Library",2015,"July",18059,819,3,18881,18915,2455,2377,14,,0,0,4846,2413,1193,0,,3606,0,0,0,0,10,79,45,0,1,0,135,97,,0,,,,,,,,,0
"80","BFS","Brookfield Public Library",2017,"February",14177,750,5,14932,14924,2540,1671,31,0,134,0,4376,2119,1114,66,,3299,0,0,0,0,19,82,52,0,10,0,163,2360,0,,,,,,,0,,0,
"81","BFS","Brookfield Public Library",2016,"February",15042,386,10,15438,15509,2214,1931,12,,101,0,4258,1996,1183,53,,3232,0,0,0,0,19,63,41,0,8,2,133,59,0,,,0,,,,,,,
"82","BFS","Brookfield Public Library",2015,"May",15059,499,1,15559,15161,2433,2399,29,0,0,0,4861,2260,1084,0,0,3344,0,0,0,1,10,95,37,0,3,0,146,56,,,,,,,,,,,
"83","BFS","Brookfield Public Library",2015,"October",16339,630,5,16974,16117,2300,2678,22,,0,0,5000,2396,1124,0,,3520,0,0,0,0,15,91,47,0,6,0,159,66,,0,,0,,,,,,,0
"84","BFS","Brookfield Public Library",2016,"August",14770,566,39,15375,,2557,1875,16,0,93,0,4541,2404,1106,72,,3582,,,,,,,,,,,,91,0,,,0,,,,,,0,
"85","BFS","Brookfield Public Library",2015,"June",18405,744,9,19158,17592,2208,2306,11,,0,0,4525,2411,1184,0,,3595,0,0,0,0,14,95,36,0,4,0,149,126,,0,,,,,,0,,,
"86","BFS","Brookfield Public Library",2015,"August",16075,547,98,16720,17217,2169,2062,25,0,0,4,4260,2418,1120,1,,3539,0,0,0,0,8,116,39,0,1,0,164,89,,,0,0,,,,,,,0
"87","BFS","Brookfield Public Library",2016,"April",15259,518,5,15782,15434,2434,2239,14,0,92,0,4779,2422,982,43,,3447,0,0,0,0,18,84,44,0,2,0,148,36,0,,,0,,,,,,0,
"88","BFS","Brookfield Public Library",2016,"June",16416,780,67,17263,15482,2518,2141,3,0,49,2,4717,2304,1103,12,,3419,0,0,0,0,6,57,29,0,4,0,96,76,0,,,0,,,,0,,4,
"89","BIS","Blue Island Public Library",2016,"June",6415,333,30,6778,5927,616,1496,0,0,0,0,2112,811,807,0,,1618,1,0,0,0,5,43,0,0,2,2,53,95,0,,,0,,,,0,,0,
"90","BIS","Blue Island Public Library",2016,"January",6489,194,16,6699,6221,712,1709,2,,0,0,2423,988,753,0,,1741,1,0,0,0,16,53,0,0,3,0,73,84,,,,0,,,,,,,
"91","BIS","Blue Island Public Library",2016,"October",9026,356,24,9406,,889,1625,8,0,6,,2528,938,633,5,,1576,,,,,,,,,,,,79,0,,,0,,,,,,0,
"92","BIS","Blue Island Public Library",2016,"February",6822,248,36,7106,6884,758,1791,16,,0,0,2565,941,718,0,,1659,1,0,0,0,16,66,0,0,4,2,89,93,0,,,0,,,,,,,
"93","BIS","Blue Island Public Library",2017,"January",7534,341,40,7915,,852,1402,17,0,13,,2284,1083,885,3,,1971,,,,,,,,,,,,99,0,,,0,,,,,0,,
"94","BIS","Blue Island Public Library",2015,"June",7362,321,87,7770,7358,742,1982,4,,0,0,2728,932,702,0,,1634,0,0,0,0,10,56,0,0,5,0,71,121,,0,,,,,,0,,,
"95","BIS","Blue Island Public Library",2015,"October",7700,299,27,8026,7616,689,1991,26,,0,0,2706,1029,775,0,,1804,1,0,0,0,8,46,0,0,1,11,67,159,,0,,0,,,,,,,0
"96","BIS","Blue Island Public Library",2016,"August",6837,326,32,7195,,736,1590,8,0,0,0,2334,859,725,0,,1584,,,,,,,,,,,,122,0,,,0,,,,,,0,
"97","BIS","Blue Island Public Library",2015,"September",7003,282,27,7312,6950,638,1843,37,,0,0,2518,918,660,0,,1578,0,0,0,0,14,57,0,0,7,2,80,119,,,0,0,,,,,,,0
"98","BIS","Blue Island Public Library",2017,"February",5556,375,11,5942,6056,950,1441,7,0,54,0,2452,904,703,2,,1609,0,0,0,0,10,62,0,0,5,16,93,63,0,,,,,,,0,,0,
"99","BIS","Blue Island Public Library",2015,"May",5971,72,45,6088,6567,531,2084,6,0,0,0,2621,819,549,0,0,1368,1,0,0,0,9,63,0,0,1,0,74,102,,,,,,,,,,,
"100","BIS","Blue Island Public Library",2016,"May",5541,351,113,6005,6308,875,1528,0,0,0,0,2403,1072,492,0,,1564,0,0,0,0,2,37,0,0,4,2,45,64,0,,,0,,0,,,,0,
"101","BIS","Blue Island Public Library",2015,"December",6319,213,15,6547,6957,657,1861,19,,0,0,2537,892,589,0,,1481,0,0,0,0,5,35,0,0,4,0,44,80,,,,0,,0,,,,,
"102","BIS","Blue Island Public Library",2016,"March",7823,323,105,8251,8060,989,1996,31,0,3,7,3026,1106,730,2,,1838,0,0,0,0,12,54,0,0,4,6,76,102,0,,,0,,,,,,0,
"103","BIS","Blue Island Public Library",2016,"July",6177,273,8,6458,6504,873,1283,2,0,4,0,2162,776,628,0,,1404,,,,,,,,,,,,76,0,,,0,,,,,,0,
"104","BIS","Blue Island Public Library",2015,"July",7757,349,39,8145,7796,741,2203,11,,0,0,2955,688,746,0,,1434,1,0,0,0,10,47,0,0,12,0,70,112,,0,,,,,,,,,0
"105","BIS","Blue Island Public Library",2016,"November",8990,338,96,9424,8723,716,1780,10,0,1,0,2507,800,659,2,,1461,0,0,0,0,12,65,0,0,2,17,96,76,0,,,0,,,,0,,0,
"106","BIS","Blue Island Public Library",2016,"April",6093,411,20,6524,7041,684,1677,13,0,0,0,2374,1010,762,0,,1772,0,0,0,0,18,47,0,0,4,3,72,81,0,,,0,,,,,,0,
"107","BIS","Blue Island Public Library",2015,"November",7076,254,25,7355,7552,649,1802,18,,0,0,2469,776,662,0,,1438,1,0,0,0,7,41,0,0,7,6,62,107,,,,0,,0,,,,,
"108","BIS","Blue Island Public Library",2015,"August",6725,299,32,7056,7331,746,2067,42,0,0,0,2855,917,791,0,,1708,2,0,0,0,9,67,0,0,5,4,87,123,,,0,0,,,,,,,0
"109","BIS","Blue Island Public Library",2016,"September",7896,510,9,8415,,786,1395,16,0,4,0,2201,,,,,,,,,,,,,,,,,97,0,,,,,,,,,0,
"110","BIS","Blue Island Public Library",2016,"December",8449,226,209,8884,,663,1643,2,,5,12,2325,702,658,0,,1360,0,0,0,0,4,214,0,0,4,13,235,47,0,,,0,,,,0,,0,
"111","BKS","Berkeley Public Library",2015,"June",2812,0,40,2852,2474,117,169,0,,0,1,287,472,182,0,,654,0,0,0,0,4,49,0,0,0,0,53,37,,0,,,,,,0,,,
"112","BKS","Berkeley Public Library",2017,"January",2106,0,0,2106,,127,238,0,0,0,,365,501,164,0,,665,,,,,,,,,,,,18,0,,,0,,,,,0,,
"113","BKS","Berkeley Public Library",2015,"August",2273,0,0,2273,2561,89,157,0,0,0,0,246,421,150,0,,571,0,0,0,0,1,22,0,0,0,0,23,27,,,0,0,,,,,,,0
